region,year,percentage,source
Northern Africa,2000,0.6092,International Telecommunication Union (ITU)
Northern Africa,2005,9.2294,International Telecommunication Union (ITU)
Northern Africa,2010,24.5691,International Telecommunication Union (ITU)
Northern Africa,2015,38.8181,International Telecommunication Union (ITU)
Northern Africa,2016,39.2427,International Telecommunication Union (ITU)
Northern Africa,2017,45.8301,International Telecommunication Union (ITU)
Northern Africa,2018,44.1412,International Telecommunication Union (ITU)
Sub-Saharan Africa,2000,0.5414,International Telecommunication Union (ITU)
Sub-Saharan Africa,2005,2.0847,International Telecommunication Union (ITU)
Sub-Saharan Africa,2010,6.5452,International Telecommunication Union (ITU)
Sub-Saharan Africa,2015,20.4993,International Telecommunication Union (ITU)
Sub-Saharan Africa,2016,19.5478,International Telecommunication Union (ITU)
Sub-Saharan Africa,2017,25.2232,International Telecommunication Union (ITU)
Sub-Saharan Africa,2018,26.0498,International Telecommunication Union (ITU)
Eastern Africa,2000,0.2132,International Telecommunication Union (ITU)
Eastern Africa,2005,1.331,International Telecommunication Union (ITU)
Eastern Africa,2010,4.4616,International Telecommunication Union (ITU)
Eastern Africa,2015,14.4739,International Telecommunication Union (ITU)
Eastern Africa,2016,14.9954,International Telecommunication Union (ITU)
Eastern Africa,2017,18.0356,International Telecommunication Union (ITU)
Eastern Africa,2018,17.5692,International Telecommunication Union (ITU)
Middle Africa,2000,0.0907,International Telecommunication Union (ITU)
Middle Africa,2005,0.7177,International Telecommunication Union (ITU)
Middle Africa,2010,2.1271,International Telecommunication Union (ITU)
Middle Africa,2015,8.6898,International Telecommunication Union (ITU)
Middle Africa,2016,10.5736,International Telecommunication Union (ITU)
Middle Africa,2017,12.3647,International Telecommunication Union (ITU)
Middle Africa,2018,13.9238,International Telecommunication Union (ITU)
Southern Africa,2000,4.8518,International Telecommunication Union (ITU)
Southern Africa,2005,6.9752,International Telecommunication Union (ITU)
Southern Africa,2010,22.0126,International Telecommunication Union (ITU)
Southern Africa,2015,49.1226,International Telecommunication Union (ITU)
Southern Africa,2016,51.35,International Telecommunication Union (ITU)
Southern Africa,2017,54.6286,International Telecommunication Union (ITU)
Southern Africa,2018,54.947,International Telecommunication Union (ITU)
Western Africa,2000,0.1325,International Telecommunication Union (ITU)
Western Africa,2005,2.4667,International Telecommunication Union (ITU)
Western Africa,2010,7.7325,International Telecommunication Union (ITU)
Western Africa,2015,27.2079,International Telecommunication Union (ITU)
Western Africa,2017,33.7149,International Telecommunication Union (ITU)
Western Africa,2018,35.8218,International Telecommunication Union (ITU)
Northern America,2000,43.882,International Telecommunication Union (ITU)
Northern America,2005,68.3286,International Telecommunication Union (ITU)
Northern America,2010,72.5474,International Telecommunication Union (ITU)
Northern America,2015,76.1159,International Telecommunication Union (ITU)
Northern America,2016,86.1122,International Telecommunication Union (ITU)
Northern America,2017,87.6442,International Telecommunication Union (ITU)
Northern America,2018,89.1898,International Telecommunication Union (ITU)
Latin America & the Caribbean,2000,3.8905,International Telecommunication Union (ITU)
Latin America & the Caribbean,2005,16.6266,International Telecommunication Union (ITU)
Latin America & the Caribbean,2010,34.6965,International Telecommunication Union (ITU)
Latin America & the Caribbean,2015,54.616,International Telecommunication Union (ITU)
Latin America & the Caribbean,2016,57.3554,International Telecommunication Union (ITU)
Latin America & the Caribbean,2017,63.2188,International Telecommunication Union (ITU)
Latin America & the Caribbean,2018,66.3142,International Telecommunication Union (ITU)
Caribbean,2000,2.9245,International Telecommunication Union (ITU)
Caribbean,2005,12.53,International Telecommunication Union (ITU)
Caribbean,2010,23.6549,International Telecommunication Union (ITU)
Caribbean,2015,39.6129,International Telecommunication Union (ITU)
Caribbean,2016,44.3707,International Telecommunication Union (ITU)
Caribbean,2017,50.2022,International Telecommunication Union (ITU)
Caribbean,2018,58.721,International Telecommunication Union (ITU)
Latin America,2000,3.9663,International Telecommunication Union (ITU)
Latin America,2005,16.9391,International Telecommunication Union (ITU)
Latin America,2010,35.5181,International Telecommunication Union (ITU)
Latin America,2015,55.6886,International Telecommunication Union (ITU)
Latin America,2016,58.2821,International Telecommunication Union (ITU)
Latin America,2017,64.1424,International Telecommunication Union (ITU)
Latin America,2018,66.8441,International Telecommunication Union (ITU)
Asia,2000,2.9804,International Telecommunication Union (ITU)
Asia,2005,9.0278,International Telecommunication Union (ITU)
Asia,2010,22.621,International Telecommunication Union (ITU)
Asia,2015,35.706,International Telecommunication Union (ITU)
Asia,2016,39.5032,International Telecommunication Union (ITU)
Asia,2017,45.2835,International Telecommunication Union (ITU)
Asia,2018,47.2714,International Telecommunication Union (ITU)
Central Asia,2000,0.506,International Telecommunication Union (ITU)
Central Asia,2005,3.3227,International Telecommunication Union (ITU)
Central Asia,2010,18.431,International Telecommunication Union (ITU)
Central Asia,2015,43.7,International Telecommunication Union (ITU)
Central Asia,2016,47.4378,International Telecommunication Union (ITU)
Central Asia,2017,50.8842,International Telecommunication Union (ITU)
Central Asia,2018,51.3321,International Telecommunication Union (ITU)
Eastern Asia,2000,5.951,International Telecommunication Union (ITU)
Eastern Asia,2005,16.1332,International Telecommunication Union (ITU)
Eastern Asia,2010,39.4847,International Telecommunication Union (ITU)
Eastern Asia,2015,54.4446,International Telecommunication Union (ITU)
Eastern Asia,2016,57.1998,International Telecommunication Union (ITU)
Eastern Asia,2017,58.6047,International Telecommunication Union (ITU)
Eastern Asia,2018,59.1259,International Telecommunication Union (ITU)
South-central Asia,2000,0.4581,International Telecommunication Union (ITU)
South-central Asia,2005,2.8177,International Telecommunication Union (ITU)
South-central Asia,2010,7.977,International Telecommunication Union (ITU)
South-central Asia,2015,18.4207,International Telecommunication Union (ITU)
South-central Asia,2016,22.5935,International Telecommunication Union (ITU)
South-central Asia,2017,32.2654,International Telecommunication Union (ITU)
South-central Asia,2018,34.1241,International Telecommunication Union (ITU)
South-eastern Asia,2000,2.3838,International Telecommunication Union (ITU)
South-eastern Asia,2005,8.6736,International Telecommunication Union (ITU)
South-eastern Asia,2010,18.8327,International Telecommunication Union (ITU)
South-eastern Asia,2015,31.9145,International Telecommunication Union (ITU)
South-eastern Asia,2016,39.913,International Telecommunication Union (ITU)
South-eastern Asia,2017,45.3487,International Telecommunication Union (ITU)
South-eastern Asia,2018,48.1953,International Telecommunication Union (ITU)
Southern Asia,2000,0.4562,International Telecommunication Union (ITU)
Southern Asia,2005,2.7991,International Telecommunication Union (ITU)
Southern Asia,2010,7.5936,International Telecommunication Union (ITU)
Southern Asia,2015,17.4736,International Telecommunication Union (ITU)
Southern Asia,2016,21.6581,International Telecommunication Union (ITU)
Southern Asia,2017,31.5611,International Telecommunication Union (ITU)
Southern Asia,2018,33.4701,International Telecommunication Union (ITU)
Western Asia,2000,3.6168,International Telecommunication Union (ITU)
Western Asia,2005,11.1098,International Telecommunication Union (ITU)
Western Asia,2010,32.6611,International Telecommunication Union (ITU)
Western Asia,2015,56.5372,International Telecommunication Union (ITU)
Western Asia,2016,54.4787,International Telecommunication Union (ITU)
Western Asia,2017,62.6295,International Telecommunication Union (ITU)
Western Asia,2018,67.6286,International Telecommunication Union (ITU)
Europe,2000,15.2377,International Telecommunication Union (ITU)
Europe,2005,39.7892,International Telecommunication Union (ITU)
Europe,2010,61.3115,International Telecommunication Union (ITU)
Europe,2015,74.2657,International Telecommunication Union (ITU)
Europe,2016,76.3263,International Telecommunication Union (ITU)
Europe,2017,78.4909,International Telecommunication Union (ITU)
Europe,2018,82.0171,International Telecommunication Union (ITU)
Oceania,2000,34.719,International Telecommunication Union (ITU)
Oceania,2005,46.8856,International Telecommunication Union (ITU)
Oceania,2010,57.3387,International Telecommunication Union (ITU)
Oceania,2015,65.7064,International Telecommunication Union (ITU)
Oceania,2016,67.3884,International Telecommunication Union (ITU)
Oceania,2017,68.1514,International Telecommunication Union (ITU)
Australia and New Zealand,2000,46.8614,International Telecommunication Union (ITU)
Australia and New Zealand,2005,62.9524,International Telecommunication Union (ITU)
Australia and New Zealand,2010,76.7348,International Telecommunication Union (ITU)
Australia and New Zealand,2015,85.1525,International Telecommunication Union (ITU)
Australia and New Zealand,2016,86.8509,International Telecommunication Union (ITU)
Australia and New Zealand,2017,87.23,International Telecommunication Union (ITU)
Australia and New Zealand,2018,86.922,International Telecommunication Union (ITU)
Afghanistan,2005,1.2241,International Telecommunication Union (ITU)
Afghanistan,2010,4,International Telecommunication Union (ITU)
Afghanistan,2015,8.26,International Telecommunication Union (ITU)
Afghanistan,2016,11.2,International Telecommunication Union (ITU)
Afghanistan,2017,13.5,International Telecommunication Union (ITU)
Albania,2000,0.1141,International Telecommunication Union (ITU)
Albania,2005,6.0439,International Telecommunication Union (ITU)
Albania,2010,45,International Telecommunication Union (ITU)
Albania,2015,63.2529,International Telecommunication Union (ITU)
Albania,2016,66.3634,International Telecommunication Union (ITU)
Albania,2017,71.847,International Telecommunication Union (ITU)
Algeria,2000,0.4917,International Telecommunication Union (ITU)
Algeria,2005,5.8439,International Telecommunication Union (ITU)
Algeria,2010,12.5,International Telecommunication Union (ITU)
Algeria,2015,38.2,International Telecommunication Union (ITU)
Algeria,2016,42.9455,International Telecommunication Union (ITU)
